participant_id,activity_instance_id,activity_attendance,fiscal_year,activity_name,activity_category,activity_label,school,start_date,end_date,total_program_days
46860420,3429906,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Shah),Mission HS,2018-09-06,2018-09-06,0
46861070,3476343,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission HS,2018-11-01,2018-11-01,0
46861804,3420417,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Finegold-Shaw),Mission HS,2018-09-27,2018-09-27,0
46861804,3421146,2,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,SILT Summer Surf Day Camps,Mission HS,2018-07-10,2018-08-02,23
46861804,3440566,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-09-13,2018-09-13,0
46861804,3440661,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Kimball),Mission HS,2018-09-20,2018-09-20,0
46861804,3454339,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-12-21,2018-12-21,0
46861804,3473499,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-10-04,2018-10-04,0
46861804,3474121,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Skate Club),Mission HS,2018-10-18,2018-10-18,0
46861804,3474149,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-11-08,2018-11-08,0
46861804,3476343,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission HS,2018-11-01,2018-11-01,0
46861804,3476373,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field trip (Hillard/Surf Club),Mission HS,2018-10-25,2018-10-25,0
46861804,3526992,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-03-07,2019-03-07,0
46861804,3527022,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Feingold-Shaw),Mission HS,2019-03-14,2019-03-14,0
46861804,3528219,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-04-04,2019-04-04,0
46861804,3528332,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Feingold-Shaw),Mission HS,2019-04-11,2019-04-11,0
46861804,3528375,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Safavi),Mission HS,2019-04-25,2019-04-25,0
46861804,3535885,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Kimball),Mission HS,2019-04-18,2019-04-18,0
46861804,3535966,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-05-02,2019-05-02,0
46861804,3536052,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Safavi),Mission HS,2019-05-09,2019-05-09,0
46861804,3538008,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Hallinan),Mission HS,2019-05-16,2019-05-16,0
46861804,3538029,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Pritchard),Mission HS,2019-05-23,2019-05-23,0
46861804,3620656,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Mission Surf Club,Mission HS,2019-05-18,2019-05-18,0
46861904,3384580,61,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission HS,2018-08-20,2019-05-29,282
46861938,3420508,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Shafer),Mission HS,2018-08-30,2018-08-30,0
46861947,3476343,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission HS,2018-11-01,2018-11-01,0
46862005,3517784,5,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Week Without Walls (March 2019),Leadership HS Charter,2019-03-18,2019-03-22,4
46862041,3476343,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission HS,2018-11-01,2018-11-01,0
46862331,3440566,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-09-13,2018-09-13,0
46862359,3538029,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Pritchard),Mission HS,2019-05-23,2019-05-23,0
